Sample.ID,Treatment,TreatmentN,num_reads,yield_Mbases,mean_quality_score,percentBaseOver30,num_reads_millions,genome_size,Num_Genomes,20Xcoverage
CF05-CM05-Zygote,C_Zygote,1,74299206,22290,35.24,90.23,74.299206,600,32.54,Yes
CF01-CM02-Larvae,C_Larvae,2,71482087,21445,35.5,91.45,71.482087,600,31.31,Yes
CF02-CM02-Zygote,C_Zygote,1,68397917,20519,35.44,91.19,68.397917,600,29.95,Yes
EF06-EM02-Larvae,E_Larvae,4,53980145,16194,35.44,91.13,53.980145,600,23.64,Yes
CF03-CM04-Larvae,C_Larvae,2,58961575,17688,35.18,89.95,58.961575,600,25.82,Yes
EF03-EM04-Larvae,E_Larvae,4,75044810,22513,35.49,91.41,75.04481,600,32.87,Yes
EF01-EM01-Zygote,E_Zygote,3,48852600,14656,35.37,90.8,48.8526,600,21.40,Yes
EF08-EM04-Larvae,E_Larvae,4,64341837,19303,35.39,91.02,64.341837,600,28.18,Yes
CF05-CM02-Larvae,C_Larvae,2,54558039,16367,35.43,91.12,54.558039,600,23.89,Yes
EF05-EM01-Larvae,E_Larvae,4,39753268,11926,35.52,91.49,39.753268,600,17.41,No
EF05-EM06-Larvae,E_Larvae,4,62926465,18878,35.29,90.36,62.926465,600,27.56,Yes
EF08-EM03-Larvae,E_Larvae,4,52120275,15636,35.28,90.51,52.120275,600,22.83,Yes
CF01-CM01-Zygote,C_Zygote,1,32457333,9737,35.44,91.1,32.457333,600,14.21,No
EF05-EM05-Zygote,E_Zygote,3,49521061,14856,35.17,89.97,49.521061,600,21.69,Yes
CF07-CM02-Zygote,C_Zygote,1,61689759,18507,35.34,90.68,61.689759,600,27.02,Yes
EF06-EM01-Larvae,E_Larvae,4,57345100,17204,35.35,90.7,57.3451,600,25.12,Yes
CF06-CM01-Zygote,C_Zygote,1,84193884,25258,34.91,89.12,84.193884,600,36.87,Yes
EF03-EM05-Larvae,E_Larvae,4,58411978,17524,34.89,88.7,58.411978,600,25.58,Yes
CF08-CM04-Larvae,C_Larvae,2,55386148,16616,35.34,90.62,55.386148,600,24.26,Yes
EF06-EM06-Larvae,E_Larvae,4,81090950,24327,35.55,91.67,81.09095,600,35.51,Yes
CF03-CM03-Zygote,C_Zygote,1,65654371,19696,35.24,90.24,65.654371,600,28.75,Yes
EF02-EM02-Zygote,E_Zygote,3,58417257,17525,35.24,90.19,58.417257,600,25.58,Yes
EF03-EM03-Zygote,E_Zygote,3,137474725,41242,35.35,90.74,137.474725,600,60.21,Yes
CF04-CM04-Zygote,C_Zygote,1,42265869,12680,35.34,90.66,42.265869,600,18.51,No
CF06-CM02-Larvae,C_Larvae,2,50349123,15105,35.45,91.18,50.349123,600,22.05,Yes
EF04-EM05-Larvae,E_Larvae,4,45976384,13793,35.5,91.42,45.976384,600,20.14,Yes
EF07-EM03-Larvae,E_Larvae,4,49010710,14703,35.37,90.86,49.01071,600,21.46,Yes
CF08-CM03-Zygote,C_Zygote,1,67440064,20232,35.24,90.22,67.440064,600,29.54,Yes
CF08-CM05-Larvae,C_Larvae,2,63639071,19092,35.39,90.83,63.639071,600,27.87,Yes
CF03-CM05-Larvae,C_Larvae,2,49579149,14874,35.25,90.26,49.579149,600,21.71,Yes
EF07-EM01-Zygote,E_Zygote,3,76890474,23067,35.34,90.68,76.890474,600,33.67,Yes
EF04-EM04-Zygote,E_Zygote,3,74546784,22364,35.43,91.08,74.546784,600,32.65,Yes
